"tech"	"callret-1"	"callret-2"	"callret-3"
"http://dbpedia.org/resource/Document_mosaicing"	"Document mosaicing"	"Artificial intelligence"	"Document mosaicing is a process that stitches multiple, overlapping snapshot images of a document together in order to produce one large, high resolution composite. The document is slid under a stationary, over-the-desk camera by hand until all parts of the document are snapshotted by the camera’s field of view. As the document slid under the camera, all motion of the document is coarsely tracked by the vision system. The document is periodically snapshotted such that the successive snapshots are overlap by about 50%. The system then finds the overlapped pairs and stitches them together repeatedly until all pairs are stitched together as one piece of document. The document mosaicing can be divided into four main processes. 
* Tracking 
* Feature detecting 
* Correspondences establishing 
* Images mosaicing."
"http://dbpedia.org/resource/GENESIS_(software)"	"GENESIS (software)"	"Artificial intelligence"	"GENESIS (The GEneral NEural SImulation System) is a simulation environment for constructing realistic models of neurobiological systems at many levels of scale including: sub-cellular processes, individual neurons, networks of neurons, and neuronal systems. These simulations are “computer-based implementations of models whose primary objective is to capture what is known of the anatomical structure and physiological characteristics of the neural system of interest”. GENESIS is intended to quantify the physical framework of the nervous system in a way that allows for easy understanding of the physical structure of the nerves in question. “At present only GENESIS allows parallelized modeling of single neurons and networks on multiple-instruction-multiple-data parallel computers.” Since its inception, development of GENESIS software has since spread from its home at Caltech to labs at the University of Texas at San Antonio, the University of Antwerp, the National Centre for Biological Sciences in Bangalore, the University of Colorado, the Pittsburgh Supercomputing Center, the San Diego Supercomputer Center, and Emory University."
"http://dbpedia.org/resource/Natural_language_understanding"	"Natural language understanding"	"Artificial intelligence"	"Natural language understanding (NLU) is a subtopic of natural language processing in artificial intelligence that deals with machine reading comprehension. NLU is considered an AI-hard problem. The process of disassembling and parsing input is more complex than the reverse process of assembling output in natural language generation because of the occurrence of unknown and unexpected features in the input and the need to determine the appropriate syntactic and semantic schemes to apply to it, factors which are pre-determined when outputting language. There is considerable commercial interest in the field because of its application to news-gathering, text categorization, voice-activation, archiving, and large-scale content-analysis."
"http://dbpedia.org/resource/Cerebellar_model_articulation_controller"	"Cerebellar model articulation controller"	"Artificial intelligence"	"The cerebellar model arithmetic computer (CMAC) is a type of neural network based on a model of the mammalian cerebellum. It is also known as the cerebellar model articulation controller. It is a type of associative memory. The CMAC was first proposed as a function modeler for robotic controllers by James Albus in 1975 (hence the name), but has been extensively used in reinforcement learning and also as for automated classification in the machine learning community. CMAC computes a function , where is the number of input dimensions. The input space is divided up into hyper-rectangles, each of which is associated with a memory cell. The contents of the memory cells are the weights, which are adjusted during training. Usually, more than one quantisation of input space is used, so that any point in input space is associated with a number of hyper-rectangles, and therefore with a number of memory cells. The output of a CMAC is the algebraic sum of the weights in all the memory cells activated by the input point. A change of value of the input point results in a change in the set of activated hyper-rectangles, and therefore a change in the set of memory cells participating in the CMAC output. The CMAC output is therefore stored in a distributed fashion, such that the output corresponding to any point in input space is derived from the value stored in a number of memory cells (hence the name associative memory). This provides generalisation."
"http://dbpedia.org/resource/LIDA_(cognitive_architecture)"	"LIDA (cognitive architecture)"	"Artificial intelligence"	"The LIDA (Learning Intelligent Distribution Agent) cognitive architecture is an integrated artificial cognitive system that attempts to model a broad spectrum of cognition in biological systems, from low-level perception/action to high-level reasoning. Developed primarily by Stan Franklin and colleagues at the University of Memphis, the LIDA architecture is empirically grounded in cognitive science and cognitive neuroscience. In addition to providing hypotheses to guide further research, the architecture can support control structures for software agents and robots. Providing plausible explanations for many cognitive processes, the LIDA conceptual model is also intended as a tool with which to think about how minds work. Two hypotheses underlie the LIDA architecture and its corresponding conceptual model: 1) Much of human cognition functions by means of frequently iterated (~10 Hz) interactions, called cognitive cycles, between conscious contents, the various memory systems and action selection. 2) These cognitive cycles, serve as the ""atoms"" of cognition of which higher-level cognitive processes are composed."
"http://dbpedia.org/resource/Autonomic_computing"	"Autonomic computing"	"Artificial intelligence"	"Autonomic computing refers to the self-managing characteristics of distributed computing resources, adapting to unpredictable changes while hiding intrinsic complexity to operators and users. Started by IBM in 2001, this initiative ultimately aims to develop computer systems capable of self-management, to overcome the rapidly growing complexity of computing systems management, and to reduce the barrier that complexity poses to further growth. The system makes decisions on its own, using high-level policies; it will constantly check and optimize its status and automatically adapt itself to changing conditions. An autonomic computing framework is composed of autonomic components (AC) interacting with each other. An AC can be modeled in terms of two main control loops (local and global) with sensors (for self-monitoring), effectors (for self-adjustment), knowledge and planner/adapter for exploiting policies based on self- and environment awareness. This architecture is sometimes be referred to as Monitor-Analyze-Plan-Execute (MAPE). Driven by such vision, a variety of architectural frameworks based on “self-regulating” autonomic components has been recently proposed. A very similar trend has recently characterized significant research in the area of multi-agent systems. However, most of these approaches are typically conceived with centralized or cluster-based server architectures in mind and mostly address the need of reducing management costs rather than the need of enabling complex software systems or providing innovative services. Some  involve mobile agents interacting via loosely coupled communication mechanisms. Autonomy-oriented computation is a paradigm proposed by Jiming Liu in 2001 that uses artificial systems imitating social animals' collective behaviours to solve difficult computational problems. For example, ant colony optimization could be studied in this paradigm."
"http://dbpedia.org/resource/Principle_of_rationality"	"Principle of rationality"	"Artificial intelligence"	"The 'principle of rationality' (or 'rationality principle') is coined by Karl R. Popper in his Harvard Lecture of 1963, published in his book Myth of Framework. It is related with what he called the 'logic of the situation' in an Economica article of 1944/1945, published later in his book The Poverty of Historicism. Following Popper the 'logic of the situation' is the result of reconstructing meticulously all circumstances if you are trying to understand a historical event. The 'principle of rationality' is the assumption that people try to reach their goals. Both the reconstruction of the 'logic of the situation' and the application of the 'principle of rationality' constitute an important method of understanding that seems to be useful in all social sciences. It is the method of creating theories due to our knowledge that men and women usually have goals and usually try to reach their goals. If this method is applied to a particular situation it results in a theory which can be proved as right or wrong. Although the 'principle of rationality' is not applicable to (natural) science there is no methodological difference between science and social sciences because both sciences are getting explanations by inventing theories which can be proved. Popper called his 'principle of rationality' nearly empty (a technical term meaning without empirical content) and strictly speaking false, but nonetheless tremendously useful. These remarks earned him a lot of criticism because seemingly he had swerved from his famous Logic of Scientific Discovery. Among the many philosophers having discussed his 'principle of rationality' from the 1960s up to now are Noretta Koertge, R. Nadeau, Viktor J. Vanberg, Hans Albert, E. Matzner, Ian C. Jarvie, Mark A. Notturno, John Wettersten, Ian C. Böhm."
"http://dbpedia.org/resource/Symbol_level"	"Symbol level"	"Artificial intelligence"	"In knowledge-based systems, agents choose actions based on the principle of rationality to move closer to a desired goal. The agent is able to make decisions based on knowledge it has about the world (see knowledge level). But for the agent to actually change its state, it must use whatever means it has available. This level of description for the agent's behavior is the symbol level. For example, in a computer program, the knowledge level consists of the information contained in its data structures that it uses to perform certain actions. The symbol level consists of the program's algorithms, the data structures themselves, and so on."
"http://dbpedia.org/resource/Neuro-fuzzy"	"Neuro-fuzzy"	"Artificial intelligence"	"In the field of artificial intelligence, neuro-fuzzy refers to combinations of artificial neural networks and fuzzy logic. Neuro-fuzzy was proposed by J. S. R. Jang. Neuro-fuzzy hybridization results in a hybrid intelligent system that synergizes these two techniques by combining the human-like reasoning style of fuzzy systems with the learning and connectionist structure of neural networks. Neuro-fuzzy hybridization is widely termed as Fuzzy Neural Network (FNN) or Neuro-Fuzzy System (NFS) in the literature. Neuro-fuzzy system (the more popular term is used henceforth) incorporates the human-like reasoning style of fuzzy systems through the use of fuzzy sets and a linguistic model consisting of a set of IF-THEN fuzzy rules. The main strength of neuro-fuzzy systems is that they are universal approximators with the ability to solicit interpretable IF-THEN rules. The strength of neuro-fuzzy systems involves two contradictory requirements in fuzzy modeling: interpretability versus accuracy. In practice, one of the two properties prevails. The neuro-fuzzy in fuzzy modeling research field is divided into two areas: linguistic fuzzy modeling that is focused on interpretability, mainly the Mamdani model; and precise fuzzy modeling that is focused on accuracy, mainly the Takagi-Sugeno-Kang (TSK) model. Although generally assumed to be the realization of a fuzzy system through connectionist networks, this term is also used to describe some other configurations including: 
* Deriving fuzzy rules from trained RBF networks. 
* Fuzzy logic based tuning of neural network training parameters. 
* Fuzzy logic criteria for increasing a network size. 
* Realising fuzzy membership function through clustering algorithms in unsupervised learning in SOMs and neural networks. 
* Representing fuzzification, fuzzy inference and defuzzification through multi-layers feed-forward connectionist networks. It must be pointed out that interpretability of the Mamdani-type neuro-fuzzy systems can be lost. To improve the interpretability of neuro-fuzzy systems, certain measures must be taken, wherein important aspects of interpretability of neuro-fuzzy systems are also discussed. A recent research line addresses the data stream mining case, where neuro-fuzzy systems are sequentially updated with new incoming samples on demand and on-the-fly. Thereby, system updates do not only include a recursive adaptation of model parameters, but also a dynamic evolution and pruning of model components (neurons, rules), in order to handle concept drift and dynamically changing system behavior adequately and to keep the systems/models ""up-to-date"" anytime. Comprehensive surveys of various evolving neuro-fuzzy systems approaches can be found in  and."
"http://dbpedia.org/resource/OpenAIR"	"OpenAIR"	"Artificial intelligence"	"OpenAIR is a message routing and communication protocol for artificial intelligence systems that has been gaining in popularity in recent years (2006). The protocol is managed by Mindmakers, and is described on their site in the following manner: ""OpenAIR is a routing and communication protocol based on a publish-subscribe architecture. It is intended to be the ""glue"" that allows numerous A.I. researchers to share code more effectively — ""AIR to share"". It is a definition or a blueprint of the ""post office and mail delivery system"" for distributed, multi-module systems. OpenAIR provides a core foundation upon which subsequent markup languages and semantics can be based, for e.g. gesture recognition and generation, computer vision, hardware-software interfacing etc.; for a recent example see CVML."" OpenAIR was created to allow software components that serve their own purpose to communicate with each other in order to produce large scale, overall behavior of an intelligent system. A simple example would be to have a speech recognition system, and a speech synthesizer communicate with an expert system through OpenAIR messages, to create a system that can hear and answer various questions through spoken dialogue."
"http://dbpedia.org/resource/Fuzzy_agent"	"Fuzzy agent"	"Artificial intelligence"	"In computer science a fuzzy agent is a software agent that implements fuzzy logic. This software entity interacts with its environment through an adaptive rule-base and can therefore be considered as a type of intelligent agent."
"http://dbpedia.org/resource/Noogenesis"	"Noogenesis"	"Artificial intelligence"	"Noogenesis (Ancient Greek: νοῦς=mind + γένεσις = origin, becoming) is the emergence and evolution of intelligence."
"http://dbpedia.org/resource/Belief–desire–intention_model"	"Belief–desire–intention model"	"Artificial intelligence"	"The belief–desire–intention (BDI) model of human practical reasoning was developed by Michael Bratman as a way of explaining future-directed intention. BDI is fundamentally reliant on folk psychology (the 'theory theory'), which is the notion that our mental models of the world are theories. It was used as a basis for developing the belief–desire–intention software model."
"http://dbpedia.org/resource/Rough_fuzzy_hybridization"	"Rough fuzzy hybridization"	"Artificial intelligence"	"Rough fuzzy hybridization is a method of hybrid intelligent system or soft computing, where Fuzzy set theory is used for linguistic representation of patterns, leading to a fuzzy granulation of the feature space. Rough set theory is used to obtain dependency rules which model informative regions in the granulated feature space."
"http://dbpedia.org/resource/3D_reconstruction_from_multiple_images"	"3D reconstruction from multiple images"	"Artificial intelligence"	"3D reconstruction from multiple images is the creation of three-dimensional models from a set of images. It is the reverse process of obtaining 2D images from 3D scenes. The essence of an image is a projection from a 3D scene onto a 2D plane, during which process the depth is lost. The 3D point corresponding to a specific image point is constrained to be on the line of sight. From a single image, it is impossible to determine which point on this line corresponds to the image point. If two images are available, then the position of a 3D point can be found as the intersection of the two projection rays. This process is referred to as triangulation. The key for this process is the relations between multiple views which convey the information that corresponding sets of points must contain some structure and that this structure is related to the poses and the calibration of the camera. In recent decades, there is an important demand for 3D content for computer graphics, virtual reality and communication, triggering a change in emphasis for the requirements. Many existing systems for constructing 3D models are built around specialized hardware (e.g. stereo rigs) resulting in a high cost, which cannot satisfy the requirement of its new applications. This gap stimulates the use of digital imaging facilities (like a camera). Moore's law also tells us that more work can be done in software. An early method was proposed by Tomasi and Kanade. They used an affine factorization approach to extract 3D from images sequences. However, the assumption of orthographic projection is a significant limitation of this system."
"http://dbpedia.org/resource/MNIST_database"	"MNIST database"	"Artificial intelligence"	"The MNIST database (Mixed National Institute of Standards and Technology database) is a large database of handwritten digits that is commonly used for training various image processing systems. The database is also widely used for training and testing in the field of machine learning. It was created by ""re-mixing"" the samples from NIST's original datasets. The creators felt that since NIST's training dataset was taken from American Census Bureau employees, while the testing dataset was taken from American high school students, it was not well-suited for machine learning experiments. Furthermore, the black and white images from NIST were normalized to fit into a 20x20 pixel bounding box and anti-aliased, which introduced grayscale levels. The MNIST database contains 60,000 training images and 10,000 testing images. Half of the training set and half of the test set were taken from NIST's training dataset, while the other half of the training set and the other half of the test set were taken from NIST's testing dataset.There have been a number of scientific papers on attempts to achieve the lowest error rate; one paper, using a hierarchical system of convolutional neural networks, manages to get an error rate on the MNIST database of 0.23 percent. The original creators of the database keep a list of some of the methods tested on it. In their original paper, they use a support vector machine to get an error rate of 0.8 percent."
"http://dbpedia.org/resource/Angel_F"	"Angel F"	"Artificial intelligence"	"Angel_F is a fictional child artificial intelligence that has been used in worldwide art performances focused on the issues of digital liberties, intellectual property and on the evolution of language and behaviour in information society. The character was created by Salvatore Iaconesi in 2007 as a hack to the Biodoll art performance by Italian artist Franca Formenti. The project revolves around the story of the technological sensual relationship between the Biodoll, a digital prostitute, and professor Derrick de Kerckhove, culminating in the birth of the young artificial intelligence. The digital child morphed from a spyware program capturing internet users' browsing activities in order to gather text to feed an algorithmic language generating system (thus letting the ""child"" learn how to speak) and became a digital personality used by the artists for both online and real-world performances. The project was later joined by Oriana Persico who curated communication and part of the theoretical approaches of the action. The Angel_F project has been featured in books, magazines, national televisions, and has been invited to many worldwide conferences and events, both academic and artistic. On one occasion, in October 2007, Angel_F attended the Internet Governance Forum (IGF) in Rio de Janeiro as the only digital being invited to speak: the young artificial intelligence was featured with a video message concerning the struggles for digital liberties, privacy, knowledge sharing and access to networks and technologies."
"http://dbpedia.org/resource/Computational_humor"	"Computational humor"	"Artificial intelligence"	"Computational humor is a branch of computational linguistics and artificial intelligence which uses computers in humor research. It is not to be confused with computer humor (i.e., jokes about computers, programmers, users, and computing). It is a relatively new area, with the first dedicated conference organized in 1996."
